name,aliases,serving_unit,serving_grams,calories,protein_g,carbs_g,fat_g,source,source_id
Banana,bananas,100 g,100,89,1.09,22.8,0.33,USDA FoodData Central (SR Legacy),173944
Apricot,apricots,100 g,100,48,1.4,11.1,0.39,USDA FoodData Central (SR Legacy),171697
Blueberries,blueberry,100 g,100,57,0.74,14.5,0.33,USDA FoodData Central (SR Legacy),171711
Blackberries,blackberry,100 g,100,43,1.39,9.61,0.49,USDA FoodData Central (SR Legacy),173946
Apple,apples,100 g,100,57,0.28,13.6,0.15,USDA FoodData Central (SR Legacy),168202
Orange,oranges,100 g,100,46,0.7,11.5,0.21,USDA FoodData Central (SR Legacy),169918
Strawberries,strawberry,100 g,100,32,0.67,7.68,0.3,USDA FoodData Central (SR Legacy),167762
Grapes,grape,100 g,100,57,0.81,13.9,0.47,USDA FoodData Central (SR Legacy),173040
Watermelon,,100 g,100,30,0.61,7.55,0.15,USDA FoodData Central (SR Legacy),167765
Mango,mangoes;mangos,100 g,100,60,0.82,15,0.38,USDA FoodData Central (SR Legacy),169910
Avocado,avocados,100 g,100,120,2.23,7.82,10.1,USDA FoodData Central (SR Legacy),171707
Broccoli,,100 g,100,34,2.82,6.64,0.37,USDA FoodData Central (SR Legacy),170379
Spinach,,100 g,100,23,2.86,3.63,0.39,USDA FoodData Central (SR Legacy),168462
Carrot,carrots,100 g,100,41,0.93,9.58,0.24,USDA FoodData Central (SR Legacy),170393
Cabbage,,100 g,100,25,1.28,5.8,0.1,USDA FoodData Central (SR Legacy),169975
Cauliflower,,100 g,100,25,1.92,4.97,0.28,USDA FoodData Central (SR Legacy),169986
Cucumber,cucumbers,100 g,100,10,0.59,2.16,0.16,USDA FoodData Central (SR Legacy),169225
Tomato,tomatoes,100 g,100,18,0.95,4.01,0.11,USDA FoodData Central (SR Legacy),170050
Onion,onions,100 g,100,40,1.1,9.34,0.1,USDA FoodData Central (SR Legacy),170000
Garlic,,100 g,100,149,6.36,33.1,0.5,USDA FoodData Central (SR Legacy),169230
Mashed potato,mashed potatoes,100 g,100,113,1.86,16.8,4.22,USDA FoodData Central (SR Legacy),168555
Celery,,100 g,100,14,0.69,2.97,0.17,USDA FoodData Central (SR Legacy),169988
Mushroom,mushrooms;enoki mushroom,100 g,100,37,2.66,7.81,0.29,USDA FoodData Central (SR Legacy),169382
Sweet corn,corn,100 g,100,86,3.22,19,1.18,USDA FoodData Central (SR Legacy),168538
Green peas,peas,100 g,100,81,5.42,14.4,0.4,USDA FoodData Central (SR Legacy),170419
Barley,,100 g,100,352,9.91,77.7,1.16,USDA FoodData Central (SR Legacy),170284
Quinoa,,100 g,100,120,4.4,21.3,1.92,USDA FoodData Central (SR Legacy),168917
Bulgur wheat,bulgur,100 g,100,83,3.08,18.6,0.24,USDA FoodData Central (SR Legacy),170287
White bread,white toast;toast,100 g,100,290,9,54.5,4,USDA FoodData Central (SR Legacy),174925
Whole wheat bread,wholewheat bread;wheat bread,100 g,100,278,8.4,51.4,5.4,USDA FoodData Central (SR Legacy),172690
Rye bread,,100 g,100,259,8.5,48.3,3.3,USDA FoodData Central (SR Legacy),172684
Bagel,bagels,100 g,100,250,10.2,48.9,1.53,USDA FoodData Central (SR Legacy),167533
